x,y
0,31
83,31
41,31
83,63
83,31
83,31
41,31
0,31
0,63
0,0
0,31
0,31
41,31
41,63
41,63
83,63
83,31
41,0
83,0
0,31
83,63
0,31
0,0
0,31
41,0
0,31
41,31
41,63
41,0
83,31
41,63
0,31
83,63
83,63
83,0
41,31
0,31
0,0
83,31
0,0
0,63
83,31
83,0
0,31
41,0
83,31
83,0
83,63
41,0
41,63
0,31
83,31
41,31
0,31
0,0
41,0
41,0
41,31
41,63
41,63
41,63
41,31
41,31
0,63
0,63
0,63
0,0
41,63
0,63
83,31
41,0
0,0
0,31
41,0
0,63
83,31
83,31
41,0
41,0
83,31
0,0
83,31
0,0
0,63
41,63
41,63
0,63
41,31
0,63
41,63
0,0
41,31
41,0
83,63
83,0
83,63
83,63
83,31
0,63
0,63
0,63
83,0
41,31
41,0
83,31
0,63
83,63
0,0
83,63
41,0
83,31
0,0
0,63
41,31
83,31
41,0
0,0
83,31
41,31
0,31
0,63
0,63
41,63
41,31
41,63
41,0
0,31
83,63
0,31
0,0
0,31
0,63
41,31
0,31
0,31
41,63
83,63
0,63
83,63
41,0
41,31
83,31
0,63
83,0
83,63
83,0
41,31
41,63
83,0
0,63
0,63
0,63
83,31
83,0
41,31
41,31
0,0
0,0
0,0
83,31
0,0
41,31
0,31
0,31
41,31
0,63
0,0
83,63
41,63
0,31
0,63
41,31
41,0
41,0
41,31
0,63
0,0
41,63
83,63
41,63
41,31
83,0
41,0
0,63
0,31
83,63
41,0
41,63
41,31
0,63
0,0
41,63
83,63
83,0
83,0
83,63
0,63
83,0
83,63
0,0
0,31
83,31
41,63
0,63
41,63
0,31
41,31
83,63
41,31
41,31
83,63
0,31
41,31
41,0
83,63
0,0
83,63
83,0
41,0
0,31
41,63
83,0
0,63
0,0
0,31
0,63
0,0
83,0
0,63
83,63
41,0
41,31
41,31
41,31
41,0
83,31
41,31
0,0
41,31
83,0
83,63
0,31
83,31
83,31
41,0
83,31
83,63
41,31
41,31
83,0
41,63
0,0
83,31
83,63
41,63
83,0
83,0
83,63
0,31
41,0
0,63
83,31
83,31
41,0
0,31
83,63
0,31
0,63
83,31
0,0
83,0
83,63
41,63
41,63
83,0
83,31
0,63
41,0
83,63
41,31
83,31
0,0
0,0
83,63
0,0
0,63
83,63
0,0
41,0
41,0
83,63
83,0
41,31
0,63
0,63
0,31
0,63
83,31
41,0
83,63
83,0
41,63
0,31
0,0
41,0
41,63
41,63
83,63
0,0
83,63
0,63
41,31
0,0
41,0
41,31
41,0
41,63
41,0
0,0
0,63
0,0
0,31
41,0
83,0
83,63
41,63
41,0
41,63
41,0
83,0
83,63
0,0
0,63
0,63
83,63
0,31
41,31
41,63
