pseudo reward per epoch,reward per epoch,cumulative reward
-80.4468,0,0.0
-49.01769999999998,0,0.0
-54.234,0,0.0
-79.19560000000001,0,0.0
-65.32839999999997,2,2.0
-67.97969999999998,1,3.0
-64.32819999999997,0,3.0
-40.41209999999998,2,5.0
-54.878600000000006,0,5.0
-75.00209999999996,0,5.0
-72.64379999999997,1,6.0
-58.17060000000002,1,7.0
-85.56959999999995,0,7.0
-79.89809999999999,0,7.0
-57.1501,0,7.0
-47.13499999999999,1,8.0
-61.80859999999997,0,8.0
-64.18329999999997,0,8.0
-78.3326,0,8.0
-83.2850000000001,0,8.0
-68.97579999999999,0,8.0
-74.0142,0,8.0
-102.15929999999993,0,8.0
-67.96949999999995,3,11.0
-38.5507,0,11.0
-48.84149999999999,1,12.0
-65.36400000000002,0,12.0
-68.5515,0,12.0
-79.08400000000005,0,12.0
-119.75160000000048,2,14.0
-66.33539999999996,0,14.0
-58.49919999999996,0,14.0
-67.4239,0,14.0
-75.10000000000001,0,14.0
-53.16549999999996,1,15.0
-51.834400000000024,2,17.0
-80.05270000000002,0,17.0
-63.49720000000001,0,17.0
-59.78370000000002,1,18.0
-87.41020000000033,1,19.0
-47.21939999999997,0,19.0
-41.28269999999998,1,20.0
-54.21719999999999,0,20.0
-72.7547,1,21.0
-91.24460000000005,0,21.0
-64.94680000000001,1,22.0
-89.14709999999995,0,22.0
-46.7587,0,22.0
-67.88929999999999,0,22.0
-103.16879999999956,0,22.0
-84.50680000000006,0,22.0
-58.13359999999998,0,22.0
-68.04190000000003,0,22.0
-67.4376,0,22.0
-59.62550000000003,0,22.0
-69.66550000000005,0,22.0
-43.81179999999996,0,22.0
-76.9508,0,22.0
-84.02200000000005,0,22.0
-139.50510000000006,0,22.0
-45.5132,0,22.0
-93.35479999999995,0,22.0
-64.8037,0,22.0
-64.914,0,22.0
-56.916900000000005,0,22.0
-78.57259999999998,0,22.0
-85.408,0,22.0
-48.44260000000001,0,22.0
-52.673900000000025,1,23.0
-62.221400000000266,0,23.0
-84.07700000000004,0,23.0
-96.5381,0,23.0
-48.620600000000024,1,24.0
-80.99420000000002,0,24.0
-51.201600000000006,0,24.0
-84.66350000000001,0,24.0
-83.24550000000004,1,25.0
-51.0146,0,25.0
-47.172600000000024,2,27.0
-97.23490000000021,0,27.0
-59.1923,0,27.0
-79.391,0,27.0
-72.96059999999997,0,27.0
-69.7222,1,28.0
-64.10660000000001,1,29.0
-58.36840000000004,1,30.0
-68.98469999999999,1,31.0
-71.39069999999998,0,31.0
-57.382599999999975,1,32.0
-58.80049999999998,0,32.0
-61.22509999999997,1,33.0
-57.402800000000006,0,33.0
-58.59520000000001,1,34.0
-64.46289999999999,0,34.0
-47.71009999999999,2,36.0
-65.8907,0,36.0
-64.85669999999993,0,36.0
-63.30119999999997,1,37.0
-59.96580000000001,1,38.0
-122.85619999999956,0,38.0
-62.81660000000001,0,38.0
-75.88300000000007,1,39.0
-59.424800000000026,0,39.0
-64.639,0,39.0
-83.70359999999995,0,39.0
-110.29950000000001,0,39.0
-73.81670000000004,0,39.0
-80.46650000000008,0,39.0
-60.24790000000002,0,39.0
-115.78019999999945,0,39.0
-68.6507,0,39.0
-50.822099999999985,0,39.0
-76.8926,0,39.0
-109.16340000000002,0,39.0
-51.0448,1,40.0
-52.03069999999995,0,40.0
-47.34359999999999,0,40.0
-74.18579999999993,0,40.0
-44.6038,1,41.0
-26.1273000000001,0,41.0
-141.30460000000002,0,41.0
-108.74780000000001,1,42.0
-102.32489999999993,1,43.0
-64.6686,1,44.0
-58.736599999999974,0,44.0
-82.82350000000002,0,44.0
-68.75799999999997,0,44.0
-73.04050000000004,1,45.0
-95.48099999999998,0,45.0
-66.62370000000003,0,45.0
-61.1008,0,45.0
-42.391899999999985,1,46.0
-77.04750000000003,0,46.0
-84.19500000000001,0,46.0
-56.28220000000003,2,48.0
-82.59039999999996,0,48.0
-57.45750000000001,1,49.0
-65.5184,0,49.0
-99.81939999999999,1,50.0
-86.80159999999991,0,50.0
-73.87310000000002,0,50.0
-69.87870000000001,1,51.0
-101.00759999999997,0,51.0
-63.49049999999999,1,52.0
-56.26969999999999,2,54.0
-71.35269999999997,0,54.0
-84.86909999999999,0,54.0
-89.02350000000006,0,54.0
-118.5869999999999,0,54.0
-53.67780000000014,0,54.0
-48.6093,0,54.0
-63.91609999999999,2,56.0
-76.08789999999998,0,56.0
-66.03369999999995,2,58.0
-61.748000000000005,0,58.0
-91.46920000000001,1,59.0
-86.55669999999994,0,59.0
-54.009299999999975,0,59.0
-53.481000000000016,2,61.0
-88.39869999999989,0,61.0
-77.30449999999996,1,62.0
-79.94859999999996,1,63.0
-58.55679999999998,1,64.0
-64.35779999999997,0,64.0
-69.38159999999996,0,64.0
-83.20379999999997,0,64.0
-79.70850000000004,0,64.0
-93.13069999999999,0,64.0
-53.77439999999996,3,67.0
-138.5959999999998,0,67.0
-86.84119999999999,0,67.0
-59.56920000000003,3,70.0
-66.26010000000004,1,71.0
-66.02380000000005,0,71.0
-71.48680000000004,0,71.0
-98.58899999999994,0,71.0
-65.70859999999998,0,71.0
-73.6712,0,71.0
-87.27619999999993,0,71.0
-49.7391999999999,0,71.0
-89.67619999999995,1,72.0
-96.94169999999998,0,72.0
-61.25719999999995,0,72.0
-97.90189999999997,0,72.0
-92.76970000000009,0,72.0
-86.94339999999987,0,72.0
-61.80480000000003,0,72.0
-75.1852,2,74.0
-80.84919999999995,0,74.0
-51.86570000000007,0,74.0
-83.77559999999995,1,75.0
-89.08870000000002,0,75.0
-61.86520000000001,0,75.0
-93.08110000000009,1,76.0
-82.13699999999992,1,77.0
-76.84779999999999,0,77.0
-73.5813,0,77.0
-70.0616,0,77.0
-93.4532,0,77.0
-96.4977999999997,0,77.0
-69.34159999999999,3,80.0
-109.85569999999994,0,80.0
-71.37609999999994,0,80.0
-73.5467,1,81.0
-93.97699999999998,0,81.0
-85.71879999999999,0,81.0
-61.78220000000004,1,82.0
-97.66929999999994,0,82.0
-72.97919999999996,1,83.0
-31.37099999999994,0,83.0
-71.36709999999994,0,83.0
-48.81120000000001,1,84.0
-59.93269999999999,1,85.0
-76.18030000000003,0,85.0
-55.32719999999999,1,86.0
-68.72949999999999,0,86.0
-86.83719999999995,0,86.0
-75.21710000000003,0,86.0
-109.66110000000002,0,86.0
-67.66610000000011,0,86.0
-70.08980000000004,0,86.0
-62.01339999999988,0,86.0
-82.87259999999995,0,86.0
-69.96539999999997,0,86.0
-67.38780000000003,0,86.0
-47.113999999999976,0,86.0
-61.67790000000003,0,86.0
-73.31179999999998,0,86.0
-85.32590000000033,1,87.0
-94.31310000000028,0,87.0
-63.956699999999906,0,87.0
-65.84240000000004,1,88.0
-80.56260000000003,0,88.0
-63.93390000000003,0,88.0
-41.7264,1,89.0
-85.75499999999994,0,89.0
-73.47479999999999,0,89.0
-74.88440000000004,1,90.0
