reward per epoch,cumulative reward
0,0.0
0,0.0
0,0.0
0,0.0
1,1.0
0,1.0
0,1.0
0,1.0
1,2.0
2,4.0
0,4.0
1,5.0
0,5.0
0,5.0
0,5.0
0,5.0
0,5.0
1,6.0
0,6.0
0,6.0
0,6.0
0,6.0
0,6.0
0,6.0
0,6.0
1,7.0
1,8.0
1,9.0
1,10.0
0,10.0
0,10.0
2,12.0
2,14.0
1,15.0
1,16.0
0,16.0
1,17.0
1,18.0
0,18.0
0,18.0
0,18.0
1,19.0
0,19.0
0,19.0
0,19.0
1,20.0
0,20.0
1,21.0
0,21.0
0,21.0
2,23.0
0,23.0
0,23.0
0,23.0
0,23.0
2,25.0
0,25.0
0,25.0
1,26.0
2,28.0
2,30.0
0,30.0
3,33.0
0,33.0
0,33.0
0,33.0
1,34.0
1,35.0
2,37.0
0,37.0
0,37.0
0,37.0
3,40.0
5,45.0
0,45.0
1,46.0
1,47.0
0,47.0
1,48.0
1,49.0
1,50.0
1,51.0
1,52.0
0,52.0
1,53.0
3,56.0
0,56.0
1,57.0
4,61.0
1,62.0
2,64.0
0,64.0
2,66.0
2,68.0
2,70.0
0,70.0
0,70.0
0,70.0
0,70.0
2,72.0
2,74.0
0,74.0
2,76.0
1,77.0
0,77.0
2,79.0
2,81.0
2,83.0
2,85.0
0,85.0
1,86.0
1,87.0
2,89.0
1,90.0
4,94.0
2,96.0
3,99.0
0,99.0
2,101.0
0,101.0
0,101.0
5,106.0
4,110.0
4,114.0
3,117.0
3,120.0
3,123.0
2,125.0
3,128.0
1,129.0
1,130.0
1,131.0
4,135.0
4,139.0
0,139.0
5,144.0
1,145.0
0,145.0
3,148.0
1,149.0
0,149.0
4,153.0
3,156.0
0,156.0
4,160.0
7,167.0
5,172.0
1,173.0
5,178.0
5,183.0
1,184.0
4,188.0
7,195.0
2,197.0
0,197.0
0,197.0
7,204.0
1,205.0
1,206.0
4,210.0
6,216.0
2,218.0
1,219.0
0,219.0
6,225.0
0,225.0
5,230.0
0,230.0
2,232.0
3,235.0
2,237.0
2,239.0
5,244.0
4,248.0
3,251.0
2,253.0
7,260.0
3,263.0
1,264.0
1,265.0
0,265.0
0,265.0
3,268.0
