sparse reward per epoch,sparse cumulative reward,pseudo reward per epoch
21,21.0,195.83060000000003
21,42.0,166.0381
22,64.0,206.79510000000005
22,86.0,196.8719
22,108.0,186.48149999999998
23,130.0,186.97180000000003
22,151.0,196.57810000000003
22,173.0,196.78570000000002
21,193.0,195.8251
23,215.0,207.5694
18,233.0,165.0928
21,253.0,195.73819999999998
22,274.0,186.94519999999997
22,296.0,196.63809999999998
25,320.0,238.31460000000007
24,344.0,216.3737
20,364.0,186.05040000000002
21,384.0,195.56160000000006
22,406.0,206.8029
1,407.0,-6.6134
3,410.0,16.7358
1,411.0,-11.4631
3,414.0,14.3159
0,414.0,-20.360799999999998
1,415.0,-6.0269
0,415.0,-17.517400000000002
2,417.0,3.3990999999999993
2,419.0,5.1665
1,420.0,-13.7635
2,422.0,2.5649999999999995
3,425.0,9.058099999999994
1,426.0,-5.884699999999998
1,427.0,-8.332899999999999
1,428.0,-11.8459
0,428.0,-22.660800000000002
2,430.0,-5.019899999999999
1,431.0,-7.3889999999999985
1,432.0,-7.963299999999999
0,432.0,-13.651100000000001
1,433.0,-10.418600000000001
0,433.0,-20.72409999999999
0,433.0,-21.8688
1,434.0,-8.745600000000003
0,434.0,-22.544800000000002
2,436.0,-1.0364000000000027
2,438.0,4.4659
0,438.0,-21.9594
0,438.0,-26.59069999999999
1,439.0,-7.695400000000002
1,440.0,-6.832999999999999
1,441.0,-10.6471
1,442.0,-7.888400000000003
3,445.0,12.672499999999998
1,446.0,-9.184900000000003
0,446.0,-18.509
1,447.0,-8.8148
1,448.0,-9.9956
0,448.0,-17.866300000000003
1,449.0,-11.405600000000002
1,450.0,-7.490899999999999
0,450.0,-16.002
0,450.0,-23.077599999999997
1,451.0,-13.344700000000001
1,452.0,-11.961400000000006
3,455.0,14.171100000000003
1,456.0,-10.391199999999998
1,457.0,-11.518099999999997
2,459.0,0.8038000000000017
1,460.0,-10.938500000000001
3,463.0,15.115000000000002
1,464.0,-11.122700000000002
0,464.0,-21.8348
2,466.0,4.210999999999999
3,469.0,14.511199999999997
0,469.0,-18.9509
0,469.0,-23.8236
0,469.0,-19.1853
0,469.0,-20.321500000000007
2,471.0,3.8660999999999994
0,471.0,-16.605699999999995
1,472.0,-11.183300000000001
2,474.0,2.469099999999999
3,477.0,14.472200000000006
3,480.0,12.7238
1,481.0,-5.986300000000002
0,481.0,-17.773699999999998
0,481.0,-20.2066
0,481.0,-22.180199999999992
2,483.0,4.051599999999999
2,485.0,0.6876000000000011
2,487.0,4.773000000000002
1,488.0,-7.177300000000002
0,488.0,-16.995199999999997
0,488.0,-14.900600000000006
0,488.0,-20.286099999999994
1,489.0,-9.4594
2,491.0,-4.964400000000002
0,491.0,-24.397399999999998
0,491.0,-18.4383
2,493.0,-0.5099000000000014
3,496.0,11.3744
1,497.0,-8.6805
1,498.0,-3.9584
1,499.0,-10.703499999999998
2,501.0,-1.2307999999999977
1,502.0,-6.480199999999999
2,504.0,3.0330999999999992
0,504.0,-25.167799999999996
1,505.0,-6.577999999999998
1,506.0,-20.588
3,509.0,10.980399999999998
1,510.0,-7.709200000000002
1,511.0,-7.6262000000000025
1,512.0,-4.7593000000000005
3,514.0,15.4472
1,515.0,-11.126800000000003
2,517.0,3.137600000000003
1,518.0,-10.317599999999992
4,522.0,12.6392
0,522.0,-20.093099999999996
0,522.0,-18.837000000000007
2,524.0,-1.6446000000000018
1,525.0,-15.281399999999998
2,527.0,4.378799999999999
1,528.0,-6.608800000000002
1,529.0,-9.188999999999998
2,531.0,4.843299999999999
0,531.0,-18.5629
2,533.0,5.402300000000002
1,534.0,-11.003200000000001
3,537.0,13.7563
0,537.0,-18.8493
2,539.0,3.673499999999998
0,539.0,-23.885099999999998
1,540.0,-18.096600000000006
2,542.0,0.35480000000000067
0,542.0,-14.927699999999998
0,542.0,-22.8106
4,546.0,15.591000000000001
3,549.0,14.135399999999997
1,550.0,-9.531699999999999
2,552.0,0.7219000000000007
0,552.0,-19.191400000000005
0,552.0,-21.8279
0,552.0,-23.8742
3,555.0,11.954400000000001
3,558.0,9.2598
1,559.0,-5.843000000000002
1,560.0,-9.556300000000002
2,562.0,2.0327999999999924
1,563.0,-6.9491
3,566.0,11.500700000000002
2,568.0,3.296200000000002
5,573.0,33.11479999999999
0,573.0,-19.826500000000003
3,576.0,10.085699999999997
1,577.0,-8.202000000000002
1,578.0,-8.967500000000001
1,579.0,-15.5975
0,579.0,-20.311899999999994
4,583.0,26.629100000000005
2,585.0,6.054200000000003
2,587.0,-1.4753999999999996
0,587.0,-16.6033
0,587.0,-16.1177
3,589.0,14.9754
1,590.0,-7.338999999999995
1,591.0,-15.0087
1,592.0,-5.1062
1,593.0,-7.963599999999999
1,594.0,-10.3024
1,595.0,-6.601700000000001
4,599.0,17.076199999999996
0,599.0,-21.25519999999999
3,602.0,14.736099999999992
1,603.0,-9.666300000000001
3,606.0,13.22499999999999
3,609.0,14.287399999999998
2,611.0,2.345000000000001
1,612.0,-10.447900000000004
1,613.0,-9.270999999999997
2,615.0,2.554799999999996
0,615.0,-17.193599999999993
1,616.0,-6.699499999999997
3,619.0,13.603700000000003
0,619.0,-21.4956
1,620.0,-7.849999999999997
0,620.0,-14.547099999999993
0,620.0,-16.7586
3,623.0,14.3735
1,624.0,-7.6457000000000015
3,627.0,9.7979
1,628.0,-13.988300000000002
4,632.0,23.189899999999984
2,634.0,4.194500000000001
2,636.0,0.5788000000000028
3,639.0,5.121599999999998
2,641.0,1.946099999999999
1,642.0,-9.345999999999998
0,642.0,-16.696400000000004
4,646.0,24.5495
1,647.0,-9.790600000000001
3,650.0,3.956199999999999
2,652.0,2.0014999999999996
3,654.0,16.5402
0,654.0,-18.464100000000002
0,654.0,-22.539000000000005
0,654.0,-22.012200000000007
2,656.0,1.6460999999999972
0,656.0,-21.756200000000007
3,659.0,12.617499999999993
1,660.0,-8.897300000000001
1,661.0,-9.066500000000003
4,664.0,24.462
1,665.0,-3.1596
5,670.0,34.75370000000001
3,673.0,14.082500000000007
0,673.0,-19.978800000000003
3,676.0,12.696800000000005
2,678.0,-0.5477999999999988
2,680.0,-0.06300000000000122
0,680.0,-19.2346
2,682.0,1.7374999999999996
3,685.0,14.340899999999998
1,686.0,-17.364400000000003
3,689.0,11.271299999999998
1,690.0,-9.794299999999998
2,692.0,-1.6229000000000002
0,692.0,-21.193399999999993
4,696.0,23.2161
4,700.0,21.3236
2,702.0,6.380000000000003
2,704.0,-0.6510999999999993
1,705.0,-9.423700000000002
2,707.0,1.141000000000008
0,707.0,-18.51909999999999
0,707.0,-19.951499999999996
4,711.0,23.894000000000013
0,711.0,-20.195200000000007
2,713.0,4.410100000000002
2,715.0,2.1198999999999977
5,720.0,33.588699999999996
3,723.0,3.6254000000000026
2,725.0,-0.5542999999999982
1,726.0,-5.310500000000002
5,731.0,34.859399999999994
5,736.0,31.348399999999998
3,739.0,14.058399999999994
2,741.0,-1.8622000000000005
0,741.0,-20.371599999999994
0,741.0,-28.399899999999995
3,744.0,14.363600000000003
4,748.0,25.3673
2,750.0,2.1698
3,753.0,15.41919999999999
1,754.0,-8.5467
1,755.0,-13.314400000000003
2,757.0,5.208699999999998
2,759.0,0.21629999999999827
5,764.0,35.14260000000001
0,764.0,-23.3223
1,765.0,-4.535100000000002
3,768.0,13.9545
4,772.0,23.713399999999993
0,772.0,-17.062999999999995
1,773.0,-11.6624
1,774.0,-7.187999999999999
1,775.0,-4.888100000000001
2,777.0,4.296299999999997
6,783.0,42.3272
1,784.0,-8.772899999999998
2,786.0,6.4119
1,787.0,-6.530800000000001
0,787.0,-27.212700000000012
1,788.0,-6.964000000000001
0,788.0,-19.515200000000004
1,789.0,-7.626600000000002
4,793.0,22.544799999999995
4,797.0,23.187000000000005
4,801.0,25.610300000000002
1,802.0,-10.144400000000001
4,806.0,25.2622
2,808.0,6.889899999999999
3,811.0,13.065500000000002
3,814.0,14.257900000000005
3,817.0,12.766000000000004
4,821.0,24.801400000000005
2,823.0,2.4370000000000016
3,826.0,15.013199999999994
2,828.0,3.830799999999998
3,831.0,13.770199999999999
1,832.0,-9.850899999999998
0,832.0,-19.8162
1,833.0,-8.250600000000002
1,834.0,-13.675899999999995
0,834.0,-23.414599999999993
4,838.0,3.8387000000000024
1,839.0,-15.763699999999998
1,840.0,-7.8013
0,840.0,-16.6253
4,844.0,26.095699999999994
2,846.0,-0.5420000000000023
1,847.0,-8.545399999999995
2,849.0,0.4655
2,851.0,-0.7164000000000028
1,852.0,-6.6952000000000025
3,855.0,15.9269
4,859.0,25.6432
2,861.0,3.524999999999997
1,862.0,-10.6246
2,864.0,2.940899999999996
1,865.0,-5.149500000000002
5,869.0,35.48909999999999
2,871.0,2.6854999999999993
1,872.0,-13.724300000000005
1,873.0,-6.8199
2,875.0,1.5723999999999994
2,877.0,3.5798999999999994
3,880.0,12.839600000000003
4,884.0,22.096899999999998
4,888.0,25.312299999999997
1,889.0,-7.1577
3,892.0,12.940000000000005
1,893.0,-10.717400000000001
3,896.0,18.162199999999995
0,896.0,-19.815400000000004
1,897.0,-8.580199999999998
2,899.0,5.0002
