x,y
13,33
52,53
43,39
4,63
43,29
17,33
39,63
74,6
74,63
83,23
69,26
56,39
61,16
21,43
65,53
69,39
74,39
78,33
69,3
0,59
56,46
83,19
69,59
26,0
78,39
48,0
56,59
61,3
13,36
17,19
83,56
69,59
52,56
78,33
0,56
34,63
17,9
8,59
4,39
69,39
4,49
56,49
26,59
48,33
43,16
21,9
17,26
17,56
52,3
69,6
8,26
48,49
34,63
13,33
8,56
52,56
4,3
17,3
21,6
8,23
34,19
13,0
52,6
43,16
30,59
43,59
17,23
52,13
30,13
0,0
56,63
34,43
17,16
34,9
17,43
61,13
21,46
8,53
74,0
17,49
65,6
52,0
21,23
39,16
43,23
39,16
13,59
13,26
21,33
78,0
30,0
83,9
17,49
78,3
26,59
30,29
34,16
83,53
43,36
8,6
78,33
17,49
52,49
43,36
43,33
30,43
13,26
83,39
39,63
78,6
83,36
78,6
4,29
74,39
74,29
61,63
4,6
78,39
74,23
17,36
8,13
61,63
26,43
4,29
39,26
78,13
13,49
78,6
30,29
8,46
43,63
78,29
48,19
52,23
61,9
8,23
17,19
56,0
34,0
0,49
17,39
30,26
4,33
65,43
48,3
69,53
8,49
34,49
74,6
17,36
26,39
78,13
30,26
56,53
4,53
39,26
8,3
83,46
83,29
56,29
52,13
83,16
8,6
30,16
0,9
39,29
56,49
13,26
74,53
52,59
56,23
43,43
4,59
17,13
48,16
39,6
74,49
65,13
17,53
0,23
13,46
17,23
74,13
48,6
34,46
26,49
26,16
26,36
43,3
30,23
43,43
13,13
69,43
65,16
4,19
48,19
4,19
56,26
13,23
83,39
26,43
8,59
13,26
48,13
52,29
17,13
4,36
69,13
56,46
39,43
21,53
52,26
39,53
34,53
17,46
83,16
69,13
26,46
61,63
4,39
74,43
4,29
65,43
74,23
65,6
13,36
39,46
26,6
39,19
43,6
48,13
52,26
74,49
48,29
48,33
17,56
78,13
0,19
26,56
30,39
48,56
21,19
8,26
56,16
17,6
56,6
13,63
39,59
4,43
4,6
26,43
0,23
61,3
69,33
74,49
21,43
43,6
26,63
83,63
52,33
61,46
8,3
83,16
30,9
8,33
4,36
21,33
21,0
78,0
65,0
61,16
52,29
83,19
61,49
61,3
4,36
61,53
48,63
74,13
4,23
78,0
26,39
61,39
4,13
52,13
65,39
43,19
69,0
34,19
0,16
69,3
65,46
65,33
52,13
39,0
74,56
39,29
61,0
13,3
34,53
21,23
43,46
26,53
61,19
30,46
13,9
0,6
26,33
8,6
39,53
39,0
65,6
78,23
17,0
39,49
26,56
65,19
48,56
69,0
52,0
13,33
83,49
83,19
0,26
52,9
69,53
61,19
8,23
8,56
78,19
0,23
43,46
83,29
56,49
21,59
74,13
39,9
78,63
48,6
34,16
8,19
21,46
39,13
21,39
8,49
0,16
26,43
69,9
34,53
69,59
30,36
69,23
78,36
69,46
8,19
13,33
43,49
0,49
83,23
61,63
65,0
83,43
13,39
8,39
61,0
13,6
69,19
39,13
30,36
83,33
34,39
30,9
13,19
52,36
83,6
39,33
30,39
69,63
13,59
26,59
43,6
17,59
30,23
78,6
74,0
78,16
34,33
21,46
21,43
30,56
13,53
30,46
61,29
61,0
17,59
78,53
69,63
13,59
61,36
39,26
13,26
34,6
26,59
8,3
69,36
17,53
52,46
69,53
83,16
39,13
39,33
74,23
26,16
65,36
8,13
8,59
17,53
4,59
65,26
26,26
65,53
13,9
8,59
17,59
34,46
74,13
83,43
65,49
69,63
4,23
56,56
52,23
69,49
13,6
74,26
83,33
0,49
8,36
52,33
21,56
4,23
26,6
13,43
56,36
39,9
56,59
21,6
56,13
17,26
26,26
26,56
56,53
48,33
69,59
43,53
8,9
74,59
17,63
43,59
30,63
8,6
0,49
83,6
65,6
0,23
69,33
17,56
8,13
61,59
65,3
48,46
48,0
69,56
69,53
48,26
65,26
30,23
4,33
78,23
0,3
78,53
21,26
34,63
52,29
17,59
34,63
34,26
34,26
61,49
30,33
26,43
26,3
74,59
17,63
69,3
30,19
0,9
83,26
83,53
8,46
43,19
74,3
8,16
78,16
65,59
26,59
13,36
56,3
52,3
30,43
26,46
30,46
69,53
21,53
69,56
26,49
69,0
13,53
65,46
8,53
52,53
17,9
4,59
48,0
0,56
48,19
34,39
34,53
34,53
34,39
65,13
39,56
8,19
43,36
13,13
56,16
74,59
65,3
43,26
39,19
56,6
26,0
26,26
65,13
8,36
13,9
8,43
65,23
83,33
74,3
48,6
8,0
74,9
48,59
4,26
34,3
8,9
74,3
78,46
30,53
48,26
0,33
0,13
34,26
61,0
69,43
61,13
61,39
74,6
30,29
13,43
13,16
8,39
48,33
78,56
48,19
52,59
30,16
8,63
52,43
83,46
30,0
56,13
0,56
52,3
56,63
8,39
8,39
43,6
61,59
17,63
65,3
69,36
52,13
17,49
0,36
17,3
17,36
69,13
83,39
30,36
26,63
74,0
39,36
39,26
4,26
26,53
69,49
4,36
0,49
43,43
34,56
21,23
0,26
74,53
48,6
21,43
52,39
0,3
56,23
39,13
0,33
43,59
0,59
13,43
61,29
74,9
8,39
83,39
83,23
4,46
78,33
83,16
56,63
83,43
69,13
21,46
34,49
26,33
69,59
39,26
56,59
