reward per epoch,cumulative reward
0,0.0
0,0.0
2,2.0
0,2.0
0,2.0
1,3.0
1,4.0
2,6.0
0,6.0
0,6.0
0,6.0
1,7.0
1,8.0
2,10.0
3,13.0
1,14.0
1,15.0
0,15.0
1,16.0
1,17.0
0,17.0
1,17.0
1,18.0
0,18.0
2,20.0
0,20.0
0,20.0
0,20.0
0,20.0
2,22.0
0,22.0
1,23.0
1,24.0
0,24.0
0,24.0
2,26.0
1,27.0
0,27.0
1,28.0
0,28.0
2,30.0
1,31.0
0,31.0
0,31.0
0,31.0
0,31.0
2,33.0
0,33.0
0,33.0
1,34.0
0,34.0
3,37.0
0,37.0
1,38.0
0,38.0
0,38.0
0,38.0
1,39.0
0,39.0
0,39.0
0,39.0
0,39.0
2,41.0
1,42.0
3,45.0
0,45.0
1,46.0
1,47.0
1,48.0
0,48.0
2,50.0
0,50.0
0,50.0
0,50.0
1,51.0
0,51.0
0,51.0
2,53.0
0,53.0
1,54.0
1,55.0
2,57.0
0,57.0
0,57.0
2,59.0
1,60.0
2,62.0
0,62.0
0,62.0
0,62.0
0,62.0
0,62.0
1,63.0
0,63.0
0,63.0
0,63.0
1,64.0
1,65.0
0,65.0
1,66.0
0,66.0
0,66.0
0,66.0
2,68.0
1,69.0
0,69.0
0,69.0
0,69.0
0,69.0
1,70.0
0,70.0
2,72.0
0,72.0
1,73.0
0,73.0
1,74.0
1,75.0
0,75.0
1,76.0
0,76.0
2,78.0
2,80.0
2,82.0
0,82.0
0,82.0
0,82.0
1,83.0
2,85.0
0,85.0
2,87.0
0,87.0
0,87.0
1,88.0
0,88.0
1,89.0
0,89.0
2,91.0
0,91.0
0,91.0
1,92.0
4,96.0
0,96.0
2,98.0
3,101.0
1,102.0
1,103.0
0,103.0
1,104.0
0,104.0
1,105.0
1,106.0
0,106.0
2,108.0
0,108.0
3,111.0
0,111.0
0,111.0
0,111.0
0,111.0
2,113.0
0,113.0
0,113.0
0,113.0
0,113.0
2,115.0
1,116.0
0,116.0
1,117.0
1,118.0
0,118.0
4,122.0
0,122.0
0,122.0
0,122.0
1,123.0
1,124.0
1,125.0
1,126.0
1,127.0
1,128.0
2,130.0
0,130.0
0,130.0
